"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG139","BG139RY","Front Pocket"
"BG139","BG139BK","Front Pocket"
"BG139","BG139RD","Front Pocket"
"BG139","BG139RY","Front Pocket"
"BG139","BG139BK","Front Pocket"
"BG139","BG139RD","Front Pocket"
"BG139","BG139RY","Front Pocket"
"BG139","BG139BK","Front Pocket"
"BG139","BG139RD","Front Pocket"
"BG139","BG139RY","Front Pocket"
"BG139","BG139BK","Front Pocket"
"BG139","BG139RD","Front Pocket"
"BG140","BG140RY","Front Pocket"
"BG140","BG140BK","Front"
"BG140","BG140RY","Front"
"BG140","BG140BK","Front Pocket"
"BG140","BG140RY","Front Pocket"
"BG140","BG140BK","Front"
"BG140","BG140RY","Front"
"BG140","BG140BK","Front Pocket"
"BG140","BG140RY","Front Pocket"
"BG140","BG140BK","Front"
"BG140","BG140RY","Front"
"BG140","BG140BK","Front Pocket"
"BG140","BG140RY","Front Pocket"
"BG140","BG140BK","Front"
"BG140","BG140RY","Front"
"BG140","BG140BK","Front Pocket"
"BG141","BG141BK","Front"
"BG141","BG141RY","Front"
"BG141","BG141BK","Front Pocket"
"BG141","BG141RY","Front Pocket"
"BG141","BG141BK","Front"
"BG141","BG141RY","Front"
"BG141","BG141BK","Front Pocket"
"BG141","BG141RY","Front Pocket"
"BG141","BG141BK","Front"
"BG141","BG141RY","Front"
"BG141","BG141BK","Front Pocket"
"BG141","BG141RY","Front Pocket"
"BG141","BG141BK","Front"
"BG141","BG141RY","Front"
"BG141","BG141BK","Front Pocket"
"BG141","BG141RY","Front Pocket"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG143","BG143GY","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144LMGNBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144LMGNBK","Front"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144LMGNBK","Front"
"BG144","BG144LMGNBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RDBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144RYBK","Front"
"BG144","BG144LMGNBK","Front"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144LMGNBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144LMGNBK","Front"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG144","BG144RDBK","Front Pocket"
"BG144","BG144RYBK","Front"
"BG144","BG144RYBK","Front Pocket"
"BG144","BG144LMGNBK","Front"
"BG144","BG144LMGNBK","Front Pocket"
"BG144","BG144RDBK","Front"
"BG145","BG145RY","Top Flap Pocket"
"BG145","BG145BK","Default"
"BG145","BG145RD","Default"
"BG145","BG145RY","Default"
"BG145","BG145BK","Top Flap Pocket"
"BG145","BG145RD","Top Flap Pocket"
"BG145","BG145RY","Top Flap Pocket"
"BG145","BG145BK","Default"
"BG145","BG145RD","Default"
"BG145","BG145RY","Default"
"BG145","BG145BK","Top Flap Pocket"
"BG145","BG145RD","Top Flap Pocket"
"BG145","BG145RY","Top Flap Pocket"
"BG145","BG145BK","Default"
"BG145","BG145RD","Default"
"BG145","BG145RY","Default"
"BG145","BG145BK","Top Flap Pocket"
"BG145","BG145RD","Top Flap Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG147","BG147RD","Front Pocket"
"BG147","BG147LMGN","Front Pocket"
"BG149","BG149RD","Top Pocket"
"BG149","BG149RD","Default"
"BG149","BG149RD","Top Pocket"
"BG149","BG149RD","Default"
"BG149","BG149RD","Top Pocket"
"BG149","BG149RD","Default"
"BG157","BG157BK","Default"
"BG157","BG157RD","Default"
"BG157","BG157BK","Top Flap Pocket"
"BG157","BG157RD","Top Flap Pocket"
"BG157","BG157BK","Top Lid"
"BG157","BG157RD","Top Lid"
"BG157","BG157BK","Default"
"BG157","BG157RD","Default"
"BG157","BG157BK","Top Flap Pocket"
"BG157","BG157RD","Top Flap Pocket"
"BG157","BG157BK","Top Lid"
"BG157","BG157RD","Top Lid"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG159","BG159BK","Front Pocket"
"BG159","BG159RD","Front Pocket"
"BG159","BG159RY","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG161","BG161RY","Front Pocket"
"BG161","BG161GY","Front Pocket"
"BG161","BG161RD","Front Pocket"
"BG162","BG162RY","Default"
"BG162","BG162GY","Front Pocket"
"BG162","BG162RD","Front Pocket"
"BG162","BG162RY","Front Pocket"
"BG162","BG162GY","Default"
"BG162","BG162RD","Default"
"BG162","BG162RY","Default"
"BG162","BG162GY","Front Pocket"
"BG162","BG162RD","Front Pocket"
"BG162","BG162RY","Front Pocket"
"BG162","BG162GY","Default"
"BG162","BG162RD","Default"
"BG162","BG162RY","Default"
"BG162","BG162GY","Front Pocket"
"BG162","BG162RD","Front Pocket"
"BG162","BG162RY","Front Pocket"
"BG162","BG162GY","Default"
"BG162","BG162RD","Default"
"BG163","BG163RY","Front Pocket"
"BG163","BG163GY","Default"
"BG163","BG163RD","Default"
"BG163","BG163RY","Default"
"BG163","BG163GY","Front Pocket"
"BG163","BG163RD","Front Pocket"
"BG163","BG163RY","Front Pocket"
"BG163","BG163GY","Default"
"BG163","BG163RD","Default"
"BG163","BG163RY","Default"
"BG163","BG163GY","Front Pocket"
"BG163","BG163RD","Front Pocket"
"BG163","BG163RY","Front Pocket"
"BG163","BG163GY","Default"
"BG163","BG163RD","Default"
"BG163","BG163RY","Default"
"BG163","BG163GY","Front Pocket"
"BG163","BG163RD","Front Pocket"
"BG176","BG176BK","Flap"
"BG176","BG176BK","Bottom Right Corner"
"BG176","BG176BK","Bottom Right Corner"
"BG176","BG176BK","Bottom Right Corner"
"BG176","BG176BK","Front"
"BG176","BG176BK","Bottom Right Corner"
"BG200","BG200PK","Front"
"BG200","BG200RY","Front"
"BG200","BG200WH","Front"
"BG200","BG200PK","Front"
"BG200","BG200RY","Front"
"BG200","BG200WH","Front"
"BG214","BG214RY","Front"
"BG214","BG214RY","Front"
"BG214","BG214RY","Front Pocket"
"BG214","BG214RY","Front"
"BG214","BG214RY","Front Pocket"
"BG214","BG214RY","Front"
"BG214","BG214RY","Front Pocket"
"BG214","BG214RY","Front"
"BG223","BG223LMGN","Default"
"BG223","BG223OR","Default"
"BG223","BG223RD","Default"
"BG223","BG223BL","Bottom Pocket"
"BG223","BG223LMGN","Bottom Pocket"
"BG223","BG223OR","Bottom Pocket"
"BG223","BG223RD","Bottom Pocket"
"BG223","BG223BL","Default"
"BG223","BG223LMGN","Default"
"BG223","BG223BL","Pocket"
"BG223","BG223OR","Default"
"BG223","BG223LMGN","Pocket"
"BG223","BG223RD","Default"
"BG223","BG223OR","Pocket"
"BG223","BG223RD","Pocket"
"BG223","BG223BL","Default"
"BG223","BG223LMGN","Default"
"BG223","BG223OR","Default"
"BG223","BG223RD","Default"
"BG223","BG223BL","Pocket"
"BG223","BG223LMGN","Pocket"
"BG223","BG223OR","Pocket"
"BG223","BG223RD","Pocket"
"BG223","BG223BL","Default"
"BG225","BG225BKGY","Front Pocket"
"BG225","BG225BKGY","Front Pocket"
"BG225","BG225BKGY","Front Pocket"
"BG225","BG225BKGY","Front Pocket"
"BG225","BG225BKGY","Front Pocket"
"BG225","BG225BKGY","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","Front Pocket"
"BG226","BG226BK","On Strap"
"BG226","BG226BK","On Strap-Vertical Imprint"
"BG226","BG226BK","Front Pocket"
"BG227","BG227BKGY","Front Bottom Pocket"
"BG227","BG227BKRD","Middle Pocket"
"BG227","BG227BKOR","Front Bottom Pocket"
"BG227","BG227BKRY","Middle Pocket"
"BG227","BG227BKRD","Front Bottom Pocket"
"BG227","BG227GYLM","Middle Pocket"
"BG227","BG227BKRY","Front Bottom Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227GYLM","Front Bottom Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227BKGY","Front Bottom Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Bottom Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Bottom Pocket"
"BG227","BG227BKGY","Front Bottom Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Bottom Pocket"
"BG227","BG227BKOR","Front Bottom Pocket"
"BG227","BG227BKGY","Front Bottom Pocket"
"BG227","BG227GYLM","Front Bottom Pocket"
"BG227","BG227BKRD","Front Bottom Pocket"
"BG227","BG227BKOR","Front Bottom Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227BKRY","Front Bottom Pocket"
"BG227","BG227BKRD","Front Bottom Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227GYLM","Front Bottom Pocket"
"BG227","BG227BKRY","Front Bottom Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227GYLM","Front Bottom Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKGY","Middle Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKOR","Middle Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Left Pocket"
"BG232","BG232BK","Bottom Left Pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Right side on pocket"
