ItemNumber,ImprintLocationName
BG139,Front Pocket
BG140,Front Pocket
BG140,Front
BG141,Front
BG141,Front Pocket
BG143,Front
BG144,Front Pocket
BG144,Front
BG145,Top Flap Pocket
BG145,Default
BG147,Front Pocket
BG149,Top Pocket
BG149,Default
BG157,Default
BG157,Top Flap Pocket
BG157,Top Lid
BG159,Front Pocket
BG161,Front Pocket
BG162,Default
BG162,Front Pocket
BG163,Front Pocket
BG163,Default
BG176,Bottom Right Corner
BG200,Front
BG214,Front
BG214,Front Pocket
BG223,Default
BG223,Bottom Pocket
BG223,Pocket
BG225,Front Pocket
BG226,Front Pocket
BG227,Front Bottom Pocket
BG227,Middle Pocket
BG227,Front Top Pocket
BG228,Top Pocket
BG230,Top
BG231,Top
BG231,Default
BG232,Bottom Right side on pocket
BG232,Bottom Left Pocket
BG232,Middle pocket
BG233,Front Pocket
BG261,Front Pocket
BG261,Default
BG263,Front Pocket
BG263,Top Flap Pocket
BG264,Front Pocket
BG264,Top Flap Pocket
BG269,Back of Chair
BG269,Bag-Opposite of Strap
BG269,Top Chair
BG269,Default
BG270,Front Pocket
BG270,Top Flap Pocket
BG271,Front Pocket
BG271,Right Side Pocket
BG271,Left Side Pocket
BG271,Top Pocket
BG274,Top Pocket
BG274,Pocket
BG275,Front Pocket
BG275,Top Flap Pocket
BG275,Default
BG276,Default
BG276,Front Pocket
BG276,Top Flap Pocket
BG277,Front Pocket
BG277,Top Flap Pocket
BG278,Top Flap
BG278,Default
BG279,Default
BG279,Top Flap
BG287,Front Pocket
BG288,Front Pocket
BG295,Front Pocket
BG296,Front Pocket
BG300,Front Pocket
BG301,Front Pocket
BG302,Default
BG302,Top
BG305,Top Flap
BG305,Default